key,zh-CN,en,ja,ru
ui_start_game,开始游戏,Start Game,ゲーム開始,Начать игру
ui_continue_game,继续游戏,Continue,続ける,Продолжить
ui_back,返回,Back,戻る,Назад
ui_confirm,确认,Confirm,確認,Подтвердить
ui_cancel,取消,Cancel,キャンセル,Отмена
menu_title_main,主菜单,Main Menu,メインメニュー,Главное меню
menu_btn_play,开始,Play,プレイ,Играть
menu_btn_shop,商店,Shop,ショップ,Магазин
menu_btn_settings,设置,Settings,設定,Настройки
menu_btn_exit,退出,Exit,終了,Выход
shop_title,商店,Shop,ショップ,Магазин
shop_tab_items,道具,Items,アイテム,Предметы
shop_tab_bundles,礼包,Bundles,バンドル,Наборы
shop_btn_buy,购买,Buy,購入,Купить
shop_restore_purchase,恢复购买,Restore Purchase,購入を復元,Восстановить покупки
settings_title,设置,Settings,設定,Настройки
settings_music,音乐,Music,音楽,Музыка
settings_sound,音效,Sound,サウンド,Звук
settings_vibration,震动,Vibration,バイブ,Вибрация
settings_language,语言,Language,言語,Язык
result_victory,胜利,Victory,勝利,Победа
result_failed,失败,Failed,失敗,Поражение
result_score,得分,Score,スコア,Счет
result_retry,重试,Retry,リトライ,Повторить
result_next_level,下一关,Next Level,次のレベル,Следующий уровень
enemy_meeting_tyrant_name,会议暴君,Meeting Tyrant,会議の暴君,Тиран совещаний
enemy_narcissist_manager_name,自恋主管,Narcissist Manager,ナルシスト上司,Самовлюбленный менеджер
item_egg_name,鸡蛋,Egg,卵,Яйцо
item_tomato_name,番茄,Tomato,トマト,Помидор
item_paint_ball_name,颜料球,Paint Ball,ペイントボール,Шарик с краской
item_foam_sprayer_name,泡沫喷枪,Foam Sprayer,フォームスプレー,Пенный распылитель
item_sponge_hammer_name,海绵锤,Sponge Hammer,スポンジハンマー,Губчатый молот
state_briefcase_block_name,公文包格挡,Briefcase Block,ブリーフケースガード,Блок портфелем
state_adjust_glasses_name,扶正眼镜,Adjust Glasses,メガネ直し,Поправляет очки
state_sunglasses_paint_resist_name,墨镜防颜料,Sunglasses Paint Resist,サングラスで塗料耐性,Солнцезащитные очки защищают от краски
state_fix_hair_name,整理发型,Fix Hair,髪型を整える,Поправляет прическу
goal_break_briefcase,击破公文包防御,Break the Briefcase Defense,ブリーフケース防御を破壊,Сломайте защиту портфеля
goal_hit_with_egg,用鸡蛋命中目标,Hit with Egg,卵で命中させる,Попадите яйцом
goal_hit_with_tomato,用番茄命中目标,Hit with Tomato,トマトで命中させる,Попадите помидором
goal_reach_breakdown_score,达到崩溃值目标,Reach Breakdown Score,崩壊スコアに到達,Достигните порога срыва
tutorial_swipe_to_aim,滑动进行瞄准,Swipe to Aim,スワイプで狙う,Проведите для прицеливания
tutorial_tap_to_throw,点击投掷道具,Tap to Throw,タップで投げる,Нажмите чтобы бросить
error_network,网络错误,Network Error,ネットワークエラー,Ошибка сети
error_login_failed,登录失败,Login Failed,ログイン失敗,Ошибка входа
error_purchase_failed,购买失败,Purchase Failed,購入失敗,Ошибка покупки
error_no_internet,无网络连接,No Internet Connection,インターネット接続なし,Нет подключения к интернету
