key,module,zh-CN,zh-TW,en,ja,ko,de,fr,es,pt-BR,ru,comment
ui_start_game,UI,开始游戏,開始遊戲,Start Game,ゲーム開始,게임 시작,Spiel starten,Démarrer,Iniciar juego,Iniciar jogo,Начать игру,主入口按钮
ui_continue_game,UI,继续游戏,繼續遊戲,Continue,続ける,계속하기,Fortsetzen,Continuer,Continuar,Continuar,Продолжить,继续按钮
ui_back,UI,返回,返回,Back,戻る,뒤로,Zurück,Retour,Atrás,Voltar,Назад,通用返回
ui_confirm,UI,确认,確認,Confirm,確認,확인,Bestätigen,Confirmer,Confirmar,Confirmar,Подтвердить,通用确认
ui_cancel,UI,取消,取消,Cancel,キャンセル,취소,Abbrechen,Annuler,Cancelar,Cancelar,Отмена,通用取消
menu_title_main,MENU,主菜单,主選單,Main Menu,メインメニュー,메인 메뉴,Hauptmenü,Menu principal,Menú principal,Menu principal,Главное меню,主菜单标题
menu_btn_play,MENU,开始,開始,Play,プレイ,플레이,Spielen,Jouer,Jugar,Jogar,Играть,开始按钮
menu_btn_shop,MENU,商店,商店,Shop,ショップ,상점,Shop,Boutique,Tienda,Loja,Магазин,商店按钮
menu_btn_settings,MENU,设置,設置,Settings,設定,설정,Einstellungen,Paramètres,Ajustes,Configurações,Настройки,设置按钮
menu_btn_exit,MENU,退出,退出,Exit,終了,종료,Beenden,Quitter,Salir,Sair,Выход,退出按钮
shop_title,SHOP,商店,商店,Shop,ショップ,상점,Shop,Boutique,Tienda,Loja,Магазин,商店标题
shop_tab_items,SHOP,道具,道具,Items,アイテム,아이템,Gegenstände,Objets,Objetos,Itens,Предметы,道具标签
shop_tab_bundles,SHOP,礼包,禮包,Bundles,バンドル,번들,Bundles,Packs,Lotes,Pacotes,Наборы,礼包标签
shop_btn_buy,SHOP,购买,購買,Buy,購入,구매,Kaufen,Acheter,Comprar,Comprar,Купить,购买按钮
shop_restore_purchase,SHOP,恢复购买,恢復購買,Restore Purchase,購入を復元,구매 복원,Käufe wiederherstellen,Restaurer les achats,Restaurar compra,Restaurar compra,Восстановить покупки,恢复购买
settings_title,SETTINGS,设置,設置,Settings,設定,설정,Einstellungen,Paramètres,Ajustes,Configurações,Настройки,设置标题
settings_music,SETTINGS,音乐,音樂,Music,音楽,음악,Musik,Musique,Música,Música,Музыка,音乐开关
settings_sound,SETTINGS,音效,音效,Sound,サウンド,사운드,Sound,Sonido,Son,Som,Звук,音效开关
settings_vibration,SETTINGS,震动,震動,Vibration,バイブ,진동,Vibration,Vibration,Vibración,Vibração,Вибрация,震动开关
settings_language,SETTINGS,语言,語言,Language,言語,언어,Sprache,Langue,Idioma,Idioma,Язык,语言设置
result_victory,RESULT,胜利,勝利,Victory,勝利,승리,Sieg,Victoire,Victoria,Vitória,Победа,胜利标题
result_failed,RESULT,失败,失敗,Failed,失敗,실패,Fehlgeschlagen,Échec,Derrota,Falha,Поражение,失败标题
result_score,RESULT,得分,得分,Score,スコア,점수,Punktzahl,Score,Puntuación,Pontuação,Счет,分数标签
result_retry,RESULT,重试,重試,Retry,リトライ,다시 시도,Erneut versuchen,Réessayer,Reintentar,Tentar novamente,Повторить,重试按钮
